accused_person_id,case_id,accused_name,gender,age,occupation,is_arrested,is_history_sheeter,address
A000067,CR000067,Faris Salvi,Male,46,Electrician,True,False,"39, Bakshi Street, Machilipatnam-129080"
A000068,CR000068,Aradhana Chawla,Female,68,Mechanic,True,False,"212, Khatri Ganj, Vasai-Virar-224516"
A000069,CR000069,Triya Lalla,Female,46,Driver,True,True,"H.No. 044, Suresh Circle, Jodhpur-422793"
A000070,CR000070,Aashi Maharaj,Female,18,Driver,True,True,"H.No. 87, Anand Chowk, Pudukkottai-140676"
A000071,CR000071,Rajeshri Sood,Female,43,Private Employee,False,False,"H.No. 22, Kapoor Road, Jorhat-772433"
A000072,CR000072,Bhavani Bal,Female,49,Business,False,False,"154, Vaidya Circle, Bongaigaon-105111"
A000073,CR000073,Gaurangi Savant,Female,65,Farmer,True,True,"H.No. 71, Jaggi Road, Amravati 486353"
A000074,CR000074,Lucky Ben,Male,19,Private Employee,True,False,"H.No. 633, Chad Zila, Phusro-613561"
A000075,CR000075,Unnati Zacharia,Female,20,Private Employee,True,False,"381, Raj Chowk, Purnia 844089"
A000076,CR000076,Fariq Chadha,Male,55,Student,True,False,"197, Kibe Marg, Chandigarh-045536"
A000077,CR000077,Sarthak Zachariah,Male,54,Mechanic,False,False,"143, Deol Nagar, Aurangabad 589461"
A000078,CR000078,Aarav Tak,Male,22,Government Employee,True,False,"700, Sarraf Path, Aizawl-666896"
A000079,CR000079,Zayan Mannan,Male,32,Driver,True,False,"H.No. 779, Bhavsar Chowk, Buxar 380050"
A000080,CR000080,Pushti Dora,Female,47,Self Employed,False,False,"575, Karan Nagar, Gangtok-668062"
A000081,CR000081,Adweta Apte,Female,29,Student,True,False,"560, Saini Circle, Adoni 781741"
A000082,CR000082,Kalpit Gala,Male,18,Private Employee,True,False,"H.No. 84, Munshi Street, Kadapa 307471"
A000083,CR000083,Ishaan Parikh,Male,63,Business,False,False,"642, Babu, Muzaffarpur-411837"
A000084,CR000084,Advaith Chander,Male,56,Student,True,False,"H.No. 448, Shan Marg, Durgapur 131628"
A000085,CR000085,Dipta Kamdar,Female,66,Self Employed,True,False,"111, Rajan Path, Vijayawada-853766"
A000086,CR000086,Samesh Toor,Male,47,Mechanic,True,False,"09/558, Sood Nagar, Rourkela 487479"
A000087,CR000087,Inaya Dada,Female,62,Driver,True,False,"697, Kata Nagar, Khandwa 987126"
A000088,CR000088,Nakul Narain,Male,32,Private Employee,True,True,"11, Loyal, Jaipur 648207"
A000089,CR000089,Upkaar Uppal,Male,22,Government Employee,True,False,"913, Golla Street, Etawah 041521"
A000090,CR000090,Ishaan Baria,Male,66,Electrician,True,False,"17, Sami Zila, Shahjahanpur-504675"
A000091,CR000091,Yachana Din,Female,39,Student,True,True,"53/790, Chaudhry, Gopalpur 843730"
A000092,CR000092,Dayita Tailor,Female,59,Self Employed,True,True,"H.No. 526, Zachariah Zila, Bathinda-447098"
A000093,CR000093,Gautam Virk,Male,18,Electrician,False,False,"391, Raval Street, Guntur 022761"
A000094,CR000094,Meghana Prabhu,Female,66,Student,True,False,"34, Chada Nagar, Thoothukudi-562035"
A000095,CR000095,Tanay Dass,Male,33,Self Employed,True,False,"235, Din Path, Satara-725827"
A000096,CR000096,Wriddhish Vora,Male,68,Labourer,True,False,"H.No. 598, Gopal Path, Tumkur 694212"
A000097,CR000097,Aarna Karan,Female,47,Farmer,True,False,"45/380, Handa Chowk, Bhimavaram 632999"
A000098,CR000098,Ishita Patla,Female,48,Labourer,True,False,"H.No. 396, Uppal Zila, Jamshedpur-647223"
A000099,CR000099,Balhaar Sem,Male,67,Self Employed,True,False,"90/99, Balay Zila, Kirari Suleman Nagar 878672"
A000100,CR000100,Tanvi Dewan,Female,61,Mechanic,True,False,"62, Gade Road, Bhopal 714024"
A000101,CR000101,Abhimanyu Ram,Male,48,Business,True,False,"66/902, Deshmukh Circle, Siliguri 769146"
A000102,CR000102,Aditya Jha,Male,40,Mechanic,False,False,"H.No. 311, Basak Path, Kadapa 366404"
A000103,CR000103,Brijesh Bassi,Male,26,Electrician,True,False,"H.No. 74, Yogi Zila, Indore-440494"
A000104,CR000104,Devansh Ghosh,Male,19,Government Employee,True,False,"H.No. 486, Buch Chowk, Nagaon 282785"
A000105,CR000105,Aadi Korpal,Male,37,Student,True,False,"39/32, Krish Ganj, Firozabad-459732"
A000106,CR000106,Laksh Sekhon,Male,39,Government Employee,True,False,"703, Varty Chowk, Singrauli-206052"
A000107,CR000107,Aditya Zachariah,Male,32,Student,False,True,"07/869, Gade Nagar, Bhubaneswar 848697"
A000108,CR000108,Siddharth Bhargava,Male,58,Self Employed,True,False,"84/86, Sastry Ganj, Farrukhabad 864892"
A000109,CR000109,Gunbir Gupta,Male,53,Labourer,True,True,"285, Keer Zila, Aligarh-588485"
A000110,CR000110,Naksh Krishnan,Male,46,Private Employee,True,False,"02/681, Dhaliwal Chowk, Shivpuri 028702"
A000111,CR000111,Logan Sidhu,Male,53,Student,True,False,"26/669, Oak Road, New Delhi 980364"
A000112,CR000112,Divya Devi,Female,54,Farmer,True,False,"H.No. 634, Dhawan, Tiruvottiyur 340644"
A000113,CR000113,Onveer Iyer,Male,39,Farmer,False,False,"H.No. 901, Mammen Circle, New Delhi-633865"
A000114,CR000114,Champak More,Male,46,Labourer,True,False,"98, Sundaram Ganj, Buxar-279784"
A000115,CR000115,Anusha Barad,Female,33,Government Employee,True,False,"445, Pant Chowk, Saharsa-204573"
A000116,CR000116,Tanay Ganesh,Male,35,Business,True,False,"836, Dugar Zila, Darbhanga 482270"
A000117,CR000117,Yatin Mitter,Male,32,Electrician,True,False,"63/15, Ramanathan Nagar, Darbhanga-675087"
A000118,CR000118,Rudra Arya,Male,47,Driver,True,False,"08, Kaur Circle, Burhanpur 519264"
A000119,CR000119,Nilima Pandya,Female,52,Government Employee,True,False,"06, Handa Road, Khandwa-477604"
A000120,CR000120,Hemang Kaul,Male,33,Student,True,False,"03, Sama Chowk, Thane 085288"
A000121,CR000121,Kamya Andra,Female,23,Self Employed,True,False,"57/75, Nori Chowk, Jamshedpur 885755"
A000122,CR000122,Nandini Murthy,Female,37,Government Employee,True,False,"H.No. 42, Tripathi Chowk, Bettiah-189366"
A000123,CR000123,Aadhya Kothari,Female,39,Farmer,False,False,"H.No. 44, Sharaf Ganj, Solapur-556038"
A000124,CR000124,Kala Ratta,Female,46,Electrician,True,False,"H.No. 673, Chawla Chowk, Vasai-Virar-317812"
A000125,CR000125,Balhaar Gera,Male,51,Private Employee,True,False,"H.No. 160, Gade Road, Karnal 776151"
A000126,CR000126,Ayushman Jani,Male,38,Government Employee,True,False,"H.No. 952, Chadha Circle, Ongole-981016"
A000127,CR000127,Gaurika Bansal,Female,39,Business,True,False,"95, Aggarwal Zila, Patiala 081394"
A000128,CR000128,Shivani Raju,Female,68,Student,False,False,"84/442, Basak, Bhilwara-147293"
A000129,CR000129,Farhan Purohit,Male,35,Student,True,True,"03, Vaidya Path, Giridih-414354"
A000130,CR000130,Shivansh Mitter,Male,21,Mechanic,True,False,"H.No. 45, Anne Chowk, Faridabad 997153"
A000131,CR000131,Maya Rege,Female,50,Labourer,True,False,"40/329, Banik, Patna 054033"
A000132,CR000132,Manya Gour,Female,54,Farmer,True,False,"16/353, Srinivas Zila, Maheshtala 256482"
A000133,CR000133,Chaman Rana,Female,19,Government Employee,True,False,"H.No. 580, Ravi, Yamunanagar 730763"
A000134,CR000134,Hamsini Bhavsar,Female,18,Electrician,True,False,"H.No. 276, Agarwal Ganj, Siwan-982038"
A000135,CR000135,Oeshi Bhandari,Female,45,Private Employee,True,True,"H.No. 53, Date Road, Narasaraopet 557781"
A000136,CR000136,Janaki Gupta,Female,32,Government Employee,True,False,"75/80, Natarajan Ganj, Suryapet-116299"
A000137,CR000137,Anirudh Naidu,Male,20,Farmer,True,False,"H.No. 62, Bir Ganj, Karimnagar 806276"
A000138,CR000138,Gaurangi Kashyap,Female,54,Electrician,False,False,"610, Thakur Nagar, Kolkata 097204"
A000139,CR000139,Rishi Dube,Male,34,Private Employee,False,False,"H.No. 32, Khare Circle, Sikar-567078"
A000140,CR000140,Chaaya Soman,Female,20,Business,True,False,"13/733, Sahota Circle, Bhubaneswar-505027"
A000141,CR000141,Sudiksha Roy,Female,49,Self Employed,True,False,"H.No. 265, Singh Nagar, Hosur 178703"
A000142,CR000142,Dalbir More,Male,27,Driver,True,False,"65/79, Badami, Sikar-365551"
A000143,CR000143,Sara Mand,Female,66,Business,True,False,"H.No. 26, Naidu Path, Rourkela-455968"
A000144,CR000144,Eiravati Tailor,Female,29,Government Employee,True,False,"213, Dube Road, Chinsurah 134211"
A000145,CR000145,Oeshi Parekh,Female,64,Electrician,True,False,"H.No. 72, Savant Circle, Loni 317116"
A000146,CR000146,Upadhriti Bhalla,Female,43,Private Employee,True,False,"H.No. 044, Kapoor Street, Suryapet-581156"
A000147,CR000147,Lohit Chaudhari,Male,53,Labourer,True,False,"835, Soni Circle, Vijayanagaram-787772"
A000148,CR000148,Bahadurjit Subramaniam,Male,28,Labourer,True,False,"59/64, Dara Marg, Salem 972650"
A000149,CR000149,Lohit Majumdar,Male,46,Student,True,False,"H.No. 88, Kara Road, Dhanbad-858288"
A000150,CR000150,Kamya Kapoor,Female,34,Government Employee,True,False,"27, Chadha Chowk, Pondicherry-925077"
A000151,CR000151,Qabil Bava,Male,57,Private Employee,True,False,"H.No. 644, Dhawan Street, Navi Mumbai-458451"
A000152,CR000152,Vrishti Mann,Female,24,Government Employee,False,False,"55/76, Bava Circle, Muzaffarnagar-559946"
A000153,CR000153,Alka Prabhu,Female,50,Student,True,False,"93/49, Mahajan Path, Hyderabad-934970"
A000154,CR000154,Yagnesh Bora,Male,45,Self Employed,True,False,"H.No. 023, Nagy Ganj, Ramgarh 467560"
A000155,CR000155,Warinder Gole,Male,40,Driver,True,False,"11/845, Bhardwaj Zila, Berhampur-776201"
A000156,CR000156,Quincy Kapadia,Male,33,Student,True,False,"305, Sood Ganj, Proddatur 171973"
A000157,CR000157,Dayamai Sandal,Female,34,Farmer,True,False,"H.No. 24, Tripathi Nagar, Jodhpur 003704"
A000158,CR000158,Faris Sampath,Male,35,Student,True,False,"H.No. 058, Dasgupta, Machilipatnam 698834"
A000159,CR000159,Madhavi Parmar,Female,66,Mechanic,True,False,"H.No. 986, Kaur Marg, Tiruvottiyur-474858"
A000160,CR000160,Harshil Naik,Male,47,Farmer,False,False,"71/970, Boase Chowk, Ujjain-736964"
A000161,CR000161,Shivani Srivastava,Female,44,Private Employee,True,False,"H.No. 029, Mander Chowk, Thrissur 399035"
A000162,CR000162,Ranbir Palla,Male,66,Farmer,True,False,"59, Swamy Nagar, Bhopal 463302"
A000163,CR000163,Lavanya Bhagat,Female,41,Self Employed,True,False,"742, Doshi Path, Karaikudi 984292"
A000164,CR000164,Indira Brar,Female,20,Private Employee,True,False,"H.No. 33, Ravel Chowk, Surendranagar Dudhrej 664597"
A000165,CR000165,Daksh Mukhopadhyay,Male,54,Government Employee,True,False,"68/877, Golla Marg, Kadapa 383517"
A000166,CR000166,Lakshit Seth,Male,43,Student,True,False,"05, Ghose Circle, Buxar-231657"
A000167,CR000167,Atharv Sundaram,Male,45,Student,True,False,"H.No. 801, Gupta Zila, Secunderabad-190829"
A000168,CR000168,Falak Prakash,Female,22,Student,False,False,"496, Kothari, Gurgaon 703663"
A000169,CR000169,Indira Samra,Female,39,Mechanic,True,False,"H.No. 14, Mahajan Road, Maheshtala 912217"
A000170,CR000170,Damyanti Lall,Female,22,Electrician,True,False,"59/22, Mohanty Road, Parbhani-285108"
A000171,CR000171,Ishani Sankar,Female,47,Self Employed,True,False,"48, Handa Road, Ratlam-844406"
A000172,CR000172,Hemani Mahajan,Female,35,Business,True,False,"H.No. 020, Pillay Circle, Kadapa 012773"
A000173,CR000173,Shivansh Mani,Male,52,Farmer,True,False,"71/98, Nagy Road, Latur-847181"
A000174,CR000174,Fitan Deshpande,Male,48,Government Employee,True,False,"H.No. 443, Cheema Chowk, Solapur-353772"
A000175,CR000175,Sanaya Srinivas,Female,67,Electrician,True,False,"760, Kamdar Zila, Ludhiana 091338"
A000176,CR000176,Isha Nayak,Female,51,Business,True,False,"H.No. 78, Mukherjee Marg, Kollam 504415"
A000177,CR000177,Vanya Garg,Female,23,Student,True,False,"33/473, Mann, Pali-260175"
A000178,CR000178,Gayathri Dar,Female,55,Mechanic,True,False,"H.No. 79, Thakkar Marg, Ballia-646328"
A000179,CR000179,Shravya Bose,Female,51,Private Employee,True,False,"H.No. 166, Sehgal Zila, Hajipur 983060"
A000180,CR000180,Pushti Taneja,Female,26,Driver,True,False,"98, Jaggi, Begusarai 933725"
A000181,CR000181,Banjeet Barad,Male,24,Mechanic,True,False,"H.No. 91, Shah, Panipat-247140"
A000182,CR000182,Bhavya Banerjee,Female,42,Labourer,True,False,"411, Ghosh Nagar, Pimpri-Chinchwad-879320"
A000183,CR000183,Netra Devan,Female,55,Driver,True,False,"30, Manne Marg, Muzaffarpur-394699"
A000184,CR000184,Ekiya Ramanathan,Female,43,Electrician,True,False,"H.No. 07, Jaggi Nagar, Bulandshahr 463314"
A000185,CR000185,Anita Loyal,Female,18,Mechanic,True,False,"97/78, Pau Nagar, Dhule-443403"
A000186,CR000186,Rushil Garg,Male,48,Mechanic,True,False,"H.No. 163, Butala, Bhiwandi-731393"
A000187,CR000187,Owen Bumb,Male,66,Self Employed,True,False,"30, Viswanathan Road, Thiruvananthapuram-098244"
A000188,CR000188,Dipta Mahal,Female,41,Farmer,True,False,"88/04, Pandya Marg, Srikakulam-821303"
A000189,CR000189,Robert Setty,Male,61,Government Employee,False,False,"21, Kar Nagar, Kavali 848492"
A000190,CR000190,Ethan Saxena,Male,34,Farmer,True,True,"979, Loyal, Etawah-638757"
A000191,CR000191,Mitesh Dixit,Male,42,Government Employee,True,False,"78, Hora Ganj, Ludhiana 542351"
A000192,CR000192,Bhavna Dara,Female,34,Electrician,False,False,"86/671, Seshadri Marg, Nashik 541155"
A000193,CR000193,Benjamin Maharaj,Male,57,Student,True,False,"75, Lall Road, Jamalpur 735034"
A000194,CR000194,Imaran Pandey,Male,45,Government Employee,True,False,"551, Mandal Circle, Hyderabad-873346"
A000195,CR000195,Naksh Bhatt,Male,68,Mechanic,True,False,"H.No. 802, Walla, Ozhukarai-063572"
A000196,CR000196,Prisha Guha,Female,54,Self Employed,True,True,"718, Patil Marg, Jehanabad-765957"
A000197,CR000197,Anita Lad,Female,61,Student,True,False,"24/752, Nadkarni Road, Raebareli 172027"
A000198,CR000198,Sudiksha Raju,Female,20,Mechanic,True,False,"13/89, Mohanty Marg, Malda 601557"
A000199,CR000199,Zaitra Wable,Female,24,Government Employee,True,False,"H.No. 37, Char Path, Mira-Bhayandar 635593"
A000200,CR000200,Januja Murthy,Female,51,Electrician,True,False,"H.No. 291, Date Nagar, Rampur-714445"
A000201,CR000201,Champak Sha,Male,48,Mechanic,False,False,"18/184, Seth Zila, Surat 924363"
A000202,CR000202,Daksh Agate,Male,55,Private Employee,True,False,"H.No. 760, Ghose Chowk, Sirsa-651439"
A000203,CR000203,Nimrat Bhagat,Female,38,Student,False,False,"H.No. 640, Raja Zila, Yamunanagar-233483"
A000204,CR000204,Isaiah Amble,Male,35,Government Employee,True,False,"78/15, Lad Nagar, Bidhannagar 675865"
A000205,CR000205,Rishi Puri,Male,23,Farmer,True,False,"H.No. 35, Pai Chowk, Dewas 875024"
A000206,CR000206,Luke Bora,Male,22,Labourer,False,True,"H.No. 62, Golla Nagar, Kalyan-Dombivli 838554"
A000207,CR000207,Lavanya Mand,Female,45,Business,True,False,"H.No. 64, Shan Circle, Nagercoil-278685"
A000208,CR000208,Harini Bali,Female,45,Student,True,False,"H.No. 83, Pau, Bhimavaram 653118"
A000209,CR000209,Samesh Ramanathan,Male,29,Government Employee,True,False,"299, Mani Marg, South Dumdum-482640"
A000210,CR000210,Rachita Saini,Female,24,Mechanic,True,False,"22, Mall, Asansol-322509"
A000211,CR000211,Chakradhar Chaudhary,Male,31,Electrician,True,False,"588, Raju Street, Farrukhabad-607909"
A000212,CR000212,Anita Bose,Female,18,Electrician,True,False,"H.No. 52, Jaggi Chowk, Gwalior 910335"
A000213,CR000213,Chaitaly Saini,Female,65,Labourer,True,False,"83/32, Ratta Path, Vadodara 594548"
A000214,CR000214,Ikbal Ben,Male,39,Student,False,False,"080, Basu Zila, Ramgarh 803264"
A000215,CR000215,Dalaja Sarkar,Female,36,Electrician,True,False,"604, Agrawal Marg, Rajahmundry-928356"
A000216,CR000216,Meera Edwin,Female,67,Student,True,False,"62, Pant Ganj, Pallavaram 683055"
A000217,CR000217,Faris Shenoy,Male,40,Private Employee,True,False,"013, Walia Ganj, Machilipatnam 563976"
A000218,CR000218,Lakshit Shah,Male,40,Self Employed,True,False,"24/61, Sunder Street, Alappuzha-626759"
A000219,CR000219,Indali Khatri,Female,19,Driver,True,False,"H.No. 045, Raju Street, Asansol-181592"
A000220,CR000220,Yatin Biswas,Male,58,Private Employee,True,False,"H.No. 227, Dara Path, Kochi-899029"
A000221,CR000221,Yoshita Vyas,Female,20,Self Employed,True,False,"83, Madan Zila, Jorhat-062506"
A000222,CR000222,Robert Ganesh,Male,23,Mechanic,True,False,"59, Vaidya Marg, Ambattur-359563"
A000223,CR000223,Yug Sahota,Male,41,Student,True,False,"47, Chaudry Ganj, Sasaram-501166"
A000224,CR000224,Dayamai Bajaj,Female,43,Business,True,False,"H.No. 680, Rau Nagar, Kirari Suleman Nagar 931367"
A000225,CR000225,Simon Ganesan,Male,54,Business,True,False,"458, Nadkarni Chowk, Kolhapur-397748"
A000226,CR000226,Vrinda Hari,Female,48,Business,True,False,"48/76, Kamdar Road, Kochi 731440"
A000227,CR000227,Brinda Tata,Female,70,Private Employee,True,True,"H.No. 22, Bhagat Chowk, Asansol 420411"
A000228,CR000228,Balveer Batta,Male,34,Private Employee,True,False,"731, Deol, Gudivada 959855"
A000229,CR000229,Ekbal Salvi,Male,50,Private Employee,True,False,"H.No. 370, Shukla Marg, Ambarnath-190988"
A000230,CR000230,Rehaan Pandit,Male,67,Government Employee,False,False,"42/06, Butala Marg, Mumbai-303426"
A000231,CR000231,Kamya Dada,Female,35,Private Employee,True,False,"58, Arora Ganj, Kirari Suleman Nagar 093403"
A000232,CR000232,Yashica Suresh,Female,65,Mechanic,True,False,"H.No. 773, Sheth Circle, Hospet 904770"
A000233,CR000233,Kevin Hayer,Male,28,Private Employee,True,False,"H.No. 426, Chadha Nagar, Fatehpur-349535"
A000234,CR000234,Onveer Ram,Male,53,Labourer,True,False,"19, Deep Zila, Ongole 249276"
A000235,CR000235,Tamanna Ravel,Female,53,Self Employed,True,False,"376, Upadhyay, Raiganj-882750"
A000236,CR000236,Jhalak Saraf,Female,42,Electrician,True,False,"171, Bakshi Nagar, Gorakhpur 185078"
A000237,CR000237,Vrinda Narang,Female,61,Private Employee,True,False,"H.No. 964, Bumb Ganj, Gopalpur 025568"
A000238,CR000238,Daksh Dhaliwal,Male,23,Labourer,True,False,"H.No. 32, Bakshi, Mumbai 910418"
A000239,CR000239,Samaksh Som,Male,23,Business,True,False,"H.No. 59, Ben Ganj, Pali 937194"
A000240,CR000240,Tanveer Sanghvi,Male,34,Government Employee,True,False,"H.No. 367, Palla Chowk, Ajmer 224193"
A000241,CR000241,Thomas Sami,Male,68,Government Employee,True,False,"H.No. 828, Chand Chowk, Nagpur-011810"
A000242,CR000242,Kritika Pingle,Female,68,Mechanic,True,True,"H.No. 711, Sha Marg, Jamnagar 814413"
A000243,CR000243,Sudiksha Mallick,Female,54,Farmer,True,False,"518, Ramachandran Zila, Sambalpur-600534"
A000244,CR000244,Vansha Choudhry,Female,23,Driver,True,False,"03, Agarwal Nagar, Kadapa-589929"
A000245,CR000245,Anya Puri,Female,43,Government Employee,True,False,"H.No. 36, Mutti Street, Morena-078192"
A000246,CR000246,Eta Johal,Female,62,Mechanic,True,False,"H.No. 05, Ghosh Street, Secunderabad-469858"
A000247,CR000247,Rajeshri Gara,Female,38,Government Employee,True,False,"69, Pillai Road, Amaravati-462912"
A000248,CR000248,Victor Chakrabarti,Male,44,Business,True,False,"H.No. 33, Nath, Kumbakonam-367438"
A000249,CR000249,Henry Kalita,Male,64,Self Employed,True,False,"H.No. 16, Mukhopadhyay Ganj, Panihati 037939"
