employee_id,kgid,employee_name,gender,date_of_birth,blood_group,rank,rank_code,appointment_date,district,taluk,police_station_name,police_station_id
EMP000072,909742,Zehaan Seth,Female,1993-01-29,AB+,Police Constable,PC,2024-11-12,Bagalkote,Bilgi,Bagalkot Women PS,BAGALKOT_WOMEN_PS
EMP000073,702810,Brijesh Bhargava,Female,1998-07-31,B-,Police Constable,PC,2003-11-16,Bagalkote,Bilgi,Bagalkot Women PS,BAGALKOT_WOMEN_PS
EMP000074,555085,Gabriel Dar,Female,1998-06-09,O-,Police Constable,PC,2004-01-20,Bagalkote,Bilgi,Bagalkot Women PS,BAGALKOT_WOMEN_PS
EMP000075,224169,Girik Gopal,Female,1977-08-15,A-,Head Constable,HC,2023-10-01,Bagalkote,Bilgi,Bagalkot Women PS,BAGALKOT_WOMEN_PS
EMP000076,519855,Vedant Mitter,Male,1994-05-11,O+,Police Constable,PC,2003-12-10,Bagalkote,Bilgi,Bagalkot Women PS,BAGALKOT_WOMEN_PS
EMP000077,984627,Sara Nayak,Female,1997-06-10,B-,Police Constable,PC,2011-11-11,Bagalkote,Badami,Ilakal PS,ILAKAL_PS
EMP000078,185700,Manya Ganesan,Male,1968-08-18,A-,Superintendent of Police,SP,1997-09-23,Bagalkote,Badami,Ilakal PS,ILAKAL_PS
EMP000079,382575,Siddharth Dani,Male,1997-08-09,AB+,Police Constable,PC,2001-12-08,Bagalkote,Badami,Ilakal PS,ILAKAL_PS
EMP000080,510494,Omisha Chakrabarti,Female,1972-09-11,B-,Police Constable,PC,1998-09-18,Bagalkote,Badami,Ilakal PS,ILAKAL_PS
EMP000081,872431,Aahana Deshmukh,Female,1994-07-29,O+,Head Constable,HC,2000-12-19,Bagalkote,Badami,Ilakal PS,ILAKAL_PS
EMP000082,634635,Manbir Devan,Male,1968-10-01,B+,Police Constable,PC,2011-08-07,Bagalkote,Badami,Ilakal PS,ILAKAL_PS
EMP000083,311700,Eshana Bhatnagar,Male,2003-09-05,AB-,Assistant Sub Inspector,ASI,1998-02-05,Bagalkote,Badami,Ilakal PS,ILAKAL_PS
EMP000084,186755,Bina Balasubramanian,Male,1987-12-23,O-,Head Constable,HC,2022-05-21,Bagalkote,Badami,Ilakal PS,ILAKAL_PS
EMP000085,771305,Zashil Sastry,Male,1999-10-27,AB-,Police Constable,PC,2002-12-02,Bagalkote,Badami,Ilakal PS,ILAKAL_PS
EMP000086,880453,Maanav Suresh,Female,1972-02-08,B-,Police Constable,PC,1998-04-30,Bagalkote,Badami,Ilakal PS,ILAKAL_PS
EMP000087,332650,Ekaraj Mangat,Male,1980-07-20,O-,Assistant Sub Inspector,ASI,2011-06-15,Bagalkote,Hungund,Teradal PS,TERADAL_PS
EMP000088,357450,Yoshita Kanda,Male,1974-01-08,O-,Police Constable,PC,2024-03-14,Bagalkote,Hungund,Teradal PS,TERADAL_PS
EMP000089,153797,Geetika Sem,Female,1971-04-23,AB+,Police Constable,PC,2011-09-06,Bagalkote,Hungund,Teradal PS,TERADAL_PS
EMP000090,767882,Leena Rajagopal,Male,1968-09-03,B-,Police Constable,PC,2010-05-31,Bagalkote,Hungund,Teradal PS,TERADAL_PS
EMP000091,476489,Charles Upadhyay,Female,2000-11-30,O+,Head Constable,HC,2015-04-05,Bagalkote,Hungund,Teradal PS,TERADAL_PS
EMP000092,182925,Kamala Kibe,Male,1994-04-08,B+,Police Sub Inspector,PSI,2008-12-24,Bagalkote,Hungund,Teradal PS,TERADAL_PS
EMP000093,545826,Reva Goel,Female,1983-02-01,AB+,Additional Superintendent of Police,Addl. SP,2005-06-22,Bagalkote,Hungund,Teradal PS,TERADAL_PS
EMP000094,911490,Osha Keer,Male,1973-10-13,AB-,Police Constable,PC,1998-09-14,Bagalkote,Hungund,Teradal PS,TERADAL_PS
EMP000095,422057,Imaran Mittal,Female,1989-11-19,O-,Police Constable,PC,2017-02-23,Bagalkote,Hungund,Teradal PS,TERADAL_PS
EMP000096,266027,Karan Singh,Female,1973-02-08,B+,Police Constable,PC,2007-02-25,Bagalkote,Hungund,Teradal PS,TERADAL_PS
EMP000097,101001,Zilmil Kaur,Female,1971-04-26,A+,Police Sub Inspector,PSI,2006-10-27,Bagalkote,Hungund,Teradal PS,TERADAL_PS
EMP000098,728510,Samaksh Thakur,Male,1988-08-31,A+,Police Inspector,PI,2001-03-04,Bagalkote,Hungund,Teradal PS,TERADAL_PS
EMP000099,492687,Ucchal Balay,Female,1990-02-16,O-,Police Constable,PC,2025-03-03,Bagalkote,Hungund,Teradal PS,TERADAL_PS
EMP000100,548052,Oeshi Peri,Female,1973-10-30,AB-,Police Constable,PC,2001-01-16,Bagalkote,Mudhol,Jamakhandi Town PS,JAMAKHANDI_TOWN_PS
EMP000101,981252,Jackson Dada,Male,1991-07-09,B+,Police Constable,PC,2016-06-16,Bagalkote,Mudhol,Jamakhandi Town PS,JAMAKHANDI_TOWN_PS
EMP000102,515512,Amruta Mallick,Male,1987-09-21,AB+,Head Constable,HC,2003-06-11,Bagalkote,Mudhol,Jamakhandi Town PS,JAMAKHANDI_TOWN_PS
EMP000103,813731,Chatura Rege,Female,1980-11-01,O+,Police Constable,PC,2012-02-20,Bagalkote,Mudhol,Jamakhandi Town PS,JAMAKHANDI_TOWN_PS
EMP000104,664022,Chameli More,Female,1978-09-09,B-,Police Sub Inspector,PSI,2004-11-15,Bagalkote,Mudhol,Jamakhandi Town PS,JAMAKHANDI_TOWN_PS
EMP000105,474450,Rehaan Sridhar,Female,1998-10-25,AB-,Police Sub Inspector,PSI,1996-10-05,Bagalkote,Mudhol,Jamakhandi Town PS,JAMAKHANDI_TOWN_PS
EMP000106,317586,Sanaya Chakraborty,Male,1991-11-16,A+,Police Inspector,PI,1997-03-14,Bagalkote,Mudhol,Jamakhandi Town PS,JAMAKHANDI_TOWN_PS
EMP000107,479828,Ethan Chandran,Female,1980-09-15,AB-,Head Constable,HC,2019-06-10,Bagalkote,Mudhol,Jamakhandi Town PS,JAMAKHANDI_TOWN_PS
EMP000108,506753,Diya Das,Male,1971-10-07,AB+,Police Constable,PC,2016-10-14,Bagalkote,Mudhol,Jamakhandi Town PS,JAMAKHANDI_TOWN_PS
EMP000109,308073,Neha Jayaraman,Female,1972-07-29,A+,Police Constable,PC,2013-07-24,Bagalkote,Bagalkot,Guledagudda PS,GULEDAGUDDA_PS
EMP000110,254961,Naveen Ben,Male,1980-01-02,A-,Police Constable,PC,2012-03-11,Bagalkote,Bagalkot,Guledagudda PS,GULEDAGUDDA_PS
EMP000111,727931,Sai Jayaraman,Female,1996-05-18,B+,Head Constable,HC,2006-05-12,Bagalkote,Bagalkot,Guledagudda PS,GULEDAGUDDA_PS
EMP000112,756630,Ishaan Master,Female,1998-11-18,AB+,Director General of Police,DGP,2010-07-25,Bagalkote,Bagalkot,Guledagudda PS,GULEDAGUDDA_PS
EMP000113,537776,Saanvi Radhakrishnan,Female,1974-11-19,O-,Police Constable,PC,2016-03-21,Bagalkote,Bagalkot,Guledagudda PS,GULEDAGUDDA_PS
EMP000114,622773,Leena Kaur,Male,1991-06-15,AB-,Head Constable,HC,2001-09-05,Bagalkote,Bagalkot,Guledagudda PS,GULEDAGUDDA_PS
EMP000115,361585,Rayaan Ganesh,Male,2003-07-06,O+,Police Constable,PC,2017-11-12,Bagalkote,Bagalkot,Guledagudda PS,GULEDAGUDDA_PS
EMP000116,586359,Nakul Buch,Female,1976-03-09,O-,Police Constable,PC,2004-04-26,Bagalkote,Bagalkot,Guledagudda PS,GULEDAGUDDA_PS
EMP000117,907510,Raghav Ahuja,Female,1971-08-13,A-,Police Constable,PC,2004-08-31,Bagalkote,Bagalkot,Guledagudda PS,GULEDAGUDDA_PS
EMP000118,980784,Abhimanyu Sem,Female,1992-08-18,B+,Police Constable,PC,2011-04-26,Bagalkote,Hungund,Savalgi PS,SAVALGI_PS
EMP000119,285072,Vamakshi Krishnan,Female,1977-10-22,A+,Director General of Police,DGP,2008-06-29,Bagalkote,Hungund,Savalgi PS,SAVALGI_PS
EMP000120,124437,Nitara Sachdev,Female,1975-01-21,O-,Assistant Sub Inspector,ASI,2019-08-15,Bagalkote,Hungund,Savalgi PS,SAVALGI_PS
EMP000121,767347,Anay Narayanan,Male,1993-03-25,A-,Additional Superintendent of Police,Addl. SP,2008-10-04,Bagalkote,Hungund,Savalgi PS,SAVALGI_PS
EMP000122,518494,Gabriel Narasimhan,Female,1981-06-14,O-,Police Constable,PC,2009-02-21,Bagalkote,Hungund,Savalgi PS,SAVALGI_PS
EMP000123,137445,Ayaan Chhabra,Male,1981-12-28,O+,Head Constable,HC,2022-10-28,Bagalkote,Hungund,Savalgi PS,SAVALGI_PS
EMP000124,613386,Saanvi Wali,Female,1993-02-04,A-,Police Constable,PC,2025-05-19,Bagalkote,Hungund,Savalgi PS,SAVALGI_PS
EMP000125,402645,Shivansh Mukhopadhyay,Male,1980-08-31,AB+,Police Constable,PC,2018-11-27,Bagalkote,Hungund,Savalgi PS,SAVALGI_PS
EMP000126,113813,Hemangini Varughese,Female,1998-11-09,A+,Head Constable,HC,2016-02-09,Bagalkote,Badami,Kaladagi PS,KALADAGI_PS
EMP000127,975055,Henry Vaidya,Male,1979-05-30,B-,Police Constable,PC,1998-02-23,Bagalkote,Badami,Kaladagi PS,KALADAGI_PS
EMP000128,836162,Devansh Solanki,Female,2000-03-19,B-,Police Constable,PC,2018-01-08,Bagalkote,Badami,Kaladagi PS,KALADAGI_PS
EMP000129,435126,Triveni Sibal,Female,1972-07-18,AB+,Assistant Sub Inspector,ASI,2005-08-20,Bagalkote,Badami,Kaladagi PS,KALADAGI_PS
EMP000130,537324,Yahvi Keer,Female,1969-05-12,AB-,Inspector General of Police,IGP,1999-06-25,Bagalkote,Badami,Kaladagi PS,KALADAGI_PS
EMP000131,343676,Omaja Sekhon,Female,1982-01-10,B+,Superintendent of Police,SP,2018-07-06,Bagalkote,Badami,Kaladagi PS,KALADAGI_PS
EMP000132,864268,Zansi Rai,Male,1981-11-19,AB+,Head Constable,HC,2017-10-27,Bagalkote,Badami,Kaladagi PS,KALADAGI_PS
EMP000133,336990,Sathvik Chacko,Male,1993-05-15,O+,Head Constable,HC,2008-11-30,Bagalkote,Badami,Kaladagi PS,KALADAGI_PS
EMP000134,154332,Krishna Reddy,Male,1989-04-08,B-,Police Constable,PC,2015-12-12,Bagalkote,Badami,Kaladagi PS,KALADAGI_PS
EMP000135,847509,Hemal Murthy,Male,1988-06-22,B+,Additional Superintendent of Police,Addl. SP,2007-01-06,Bagalkote,Badami,Kaladagi PS,KALADAGI_PS
EMP000136,676057,Dipta Bava,Male,1990-01-31,O+,Police Constable,PC,2005-10-16,Bagalkote,Badami,Kaladagi PS,KALADAGI_PS
EMP000137,176148,Qasim Natarajan,Male,1987-04-21,AB-,Police Constable,PC,2006-07-08,Bagalkote,Mudhol,Amengad PS,AMENGAD_PS
EMP000138,929914,Rehaan Chauhan,Female,1995-08-05,B-,Police Constable,PC,1999-07-19,Bagalkote,Mudhol,Amengad PS,AMENGAD_PS
EMP000139,771461,Aahana Balakrishnan,Female,1975-11-06,B-,Police Inspector,PI,2014-11-22,Bagalkote,Mudhol,Amengad PS,AMENGAD_PS
EMP000140,884230,Barkha Agarwal,Male,1992-02-15,B-,Additional Superintendent of Police,Addl. SP,1997-11-21,Bagalkote,Mudhol,Amengad PS,AMENGAD_PS
EMP000141,392639,Vedika Chacko,Female,1985-02-21,A+,Head Constable,HC,2007-01-17,Bagalkote,Mudhol,Amengad PS,AMENGAD_PS
EMP000142,424557,Shivansh Sawhney,Male,1999-06-18,AB-,Police Constable,PC,2024-03-24,Bagalkote,Mudhol,Amengad PS,AMENGAD_PS
EMP000143,194194,Radhika Lad,Female,1975-08-11,O+,Additional Director General of Police,ADGP,2000-01-22,Bagalkote,Mudhol,Amengad PS,AMENGAD_PS
EMP000144,519169,Janaki Chacko,Male,1970-11-09,AB+,Police Constable,PC,2014-08-08,Bagalkote,Mudhol,Amengad PS,AMENGAD_PS
EMP000145,956787,Dayamai Verma,Female,1989-12-05,B-,Head Constable,HC,2018-06-22,Bagalkote,Mudhol,Amengad PS,AMENGAD_PS
EMP000146,695997,Geetika Contractor,Male,2001-01-19,AB+,Police Constable,PC,2013-06-20,Bagalkote,Mudhol,Amengad PS,AMENGAD_PS
EMP000147,905285,Arin Seth,Male,1977-10-11,B-,Police Sub Inspector,PSI,2015-04-15,Bagalkote,Mudhol,Amengad PS,AMENGAD_PS
EMP000148,427153,Oliver Patla,Male,1990-05-20,AB-,Police Sub Inspector,PSI,2009-08-13,Bagalkote,Mudhol,Amengad PS,AMENGAD_PS
EMP000149,114809,Zilmil Dhar,Female,1986-06-23,O+,Superintendent of Police,SP,2007-05-25,Bagalkote,Mudhol,Amengad PS,AMENGAD_PS
EMP000150,131172,Chatura Dey,Female,1992-03-31,O+,Assistant Sub Inspector,ASI,2009-04-12,Bagalkote,Mudhol,Amengad PS,AMENGAD_PS
EMP000151,112005,Triya Ramaswamy,Male,1996-03-13,O-,Police Constable,PC,2001-12-29,Bagalkote,Mudhol,Amengad PS,AMENGAD_PS
EMP000152,742270,Sachi Garg,Female,2003-02-26,O+,Police Constable,PC,2004-10-02,Bagalkote,Mudhol,Amengad PS,AMENGAD_PS
EMP000153,617309,Edhitha Nayar,Female,1981-12-26,B+,Assistant Sub Inspector,ASI,2014-05-31,Bagalkote,Mudhol,Amengad PS,AMENGAD_PS
EMP000154,867083,Victor Ganguly,Female,1989-04-07,O+,Police Constable,PC,2025-03-06,Bagalkote,Badami,Bagalkot Traffic PS,BAGALKOT_TRAFFIC_PS
EMP000155,303743,Tanveer Tailor,Male,1980-12-10,A+,Police Constable,PC,2006-12-06,Bagalkote,Badami,Bagalkot Traffic PS,BAGALKOT_TRAFFIC_PS
EMP000156,212234,Yatan Swaminathan,Female,1985-04-15,B+,Police Sub Inspector,PSI,1998-04-15,Bagalkote,Badami,Bagalkot Traffic PS,BAGALKOT_TRAFFIC_PS
EMP000157,575923,Jhalak Puri,Male,1980-08-03,B-,Police Constable,PC,2006-01-05,Bagalkote,Badami,Bagalkot Traffic PS,BAGALKOT_TRAFFIC_PS
EMP000158,655731,Neha Batta,Female,1985-11-03,AB+,Police Constable,PC,2022-10-24,Bagalkote,Badami,Bagalkot Traffic PS,BAGALKOT_TRAFFIC_PS
EMP000159,811543,Ria Tata,Female,1985-09-01,AB-,Police Sub Inspector,PSI,2008-02-08,Bagalkote,Badami,Bagalkot Traffic PS,BAGALKOT_TRAFFIC_PS
EMP000160,365406,Eiravati Varkey,Male,1992-12-29,O+,Police Constable,PC,2004-02-02,Bagalkote,Badami,Bagalkot Traffic PS,BAGALKOT_TRAFFIC_PS
EMP000161,367096,Noah Goda,Male,1986-07-23,O-,Police Constable,PC,1998-12-14,Bagalkote,Badami,Bagalkot Traffic PS,BAGALKOT_TRAFFIC_PS
EMP000162,332957,Yashodhara Comar,Female,2000-07-25,B-,Assistant Sub Inspector,ASI,2015-03-23,Bagalkote,Badami,Bagalkot Traffic PS,BAGALKOT_TRAFFIC_PS
EMP000163,971458,Yashvi Sastry,Male,2000-11-05,A-,Police Constable,PC,2020-09-16,Bagalkote,Badami,Bagalkot Traffic PS,BAGALKOT_TRAFFIC_PS
EMP000164,511743,Faris Mukherjee,Female,1991-08-30,B+,Police Constable,PC,2019-11-16,Bagalkote,Badami,Bagalkot Traffic PS,BAGALKOT_TRAFFIC_PS
EMP000165,783505,Ayaan Krishnan,Male,1976-06-08,AB-,Police Constable,PC,2021-08-14,Bagalkote,Badami,Bagalkot Traffic PS,BAGALKOT_TRAFFIC_PS
EMP000166,816288,Pallavi Shankar,Female,1997-02-25,O-,Police Constable,PC,1998-03-18,Bagalkote,Badami,Bagalkot Traffic PS,BAGALKOT_TRAFFIC_PS
EMP000167,623319,Krisha Venkatesh,Female,1996-04-22,AB+,Assistant Sub Inspector,ASI,2016-10-15,Bagalkote,Badami,Bagalkot Traffic PS,BAGALKOT_TRAFFIC_PS
