victim_id,case_id,victim_name,gender,age,occupation,injury_type,relationship_to_accused,address
VICT000021,CR000019,Abhiram Khare,Other,81,Housewife,Minor,Colleague,"014, Agarwal Marg, Ahmednagar 599456"
VICT000022,CR000020,Chakradev Khosla,Male,36,Student,Serious,Stranger,"H.No. 56, Chada Path, Madhyamgram 826249"
VICT000023,CR000021,Bahadurjit Deol,Male,59,Farmer,Serious,Colleague,"H.No. 908, Raj Chowk, Munger 971089"
VICT000024,CR000022,Zashil Sarma,Male,73,Labourer,Serious,Colleague,"H.No. 191, Sandhu Path, Faridabad-848167"
VICT000025,CR000023,Jeremiah Suri,Other,20,Retired,None,Colleague,"H.No. 942, Mittal Nagar, Madhyamgram-049250"
VICT000026,CR000024,Chanakya Das,Other,49,Self Employed,Serious,Unknown,"31/905, Kurian Path, Bangalore 911023"
VICT000027,CR000025,Nidra Sibal,Female,32,Self Employed,None,Friend,"53/753, Rattan Circle, Nizamabad 666255"
VICT000028,CR000026,Amrita Mangal,Other,71,Self Employed,Minor,Neighbour,"H.No. 69, De Zila, Ratlam-763565"
VICT000029,CR000027,Krishna Nagarajan,Other,58,Labourer,Serious,Friend,"95/49, Chhabra Ganj, Saharanpur-876658"
VICT000030,CR000027,Umang Dubey,Male,5,Government Employee,Serious,Unknown,"H.No. 41, Warrior Circle, Bhalswa Jahangir Pur 439707"
VICT000031,CR000027,Anjali Gill,Other,41,Farmer,Minor,Unknown,"H.No. 676, Sachar Chowk, Mangalore 521944"
VICT000032,CR000028,Urmi Ramachandran,Other,71,Government Employee,Serious,Colleague,"H.No. 444, Dave Ganj, Raebareli 072058"
VICT000033,CR000029,Tanay Lala,Other,61,Student,None,Friend,"37/670, Mitter Chowk, Silchar-227568"
VICT000034,CR000030,Joshua Upadhyay,Male,80,Self Employed,Minor,Colleague,"H.No. 00, Patel Chowk, Guwahati-421941"
VICT000035,CR000031,Kiaan Mander,Other,47,Self Employed,None,Colleague,"09/211, Thakkar Chowk, Ambala 096807"
VICT000036,CR000032,Chaitanya Raj,Male,79,Private Employee,None,Colleague,"55/173, Prabhakar Road, Chinsurah-064511"
VICT000037,CR000032,Manthan Mallick,Other,9,Retired,None,Unknown,"94/245, Butala Chowk, Eluru 266700"
VICT000038,CR000033,Siddharth Balan,Male,79,Government Employee,Minor,Neighbour,"H.No. 696, Murty Path, Bhimavaram-415005"
VICT000039,CR000034,Ikbal Chaudhary,Other,59,Farmer,None,Neighbour,"34, Setty, Kanpur 553490"
VICT000040,CR000035,Abeer Jani,Male,76,Student,Fatal,Neighbour,"H.No. 60, Parikh Road, Proddatur 514376"
VICT000041,CR000036,Niharika Mitter,Female,8,Self Employed,Serious,Unknown,"H.No. 817, Chokshi Circle, Chittoor 114877"
VICT000042,CR000037,Aayush Bora,Male,68,Labourer,None,Friend,"78/54, Mane Path, Danapur-130758"
VICT000043,CR000037,Tripti Koshy,Female,19,Farmer,None,Family,"70/20, Pai Ganj, Bikaner-717717"
VICT000044,CR000038,Gunbir Dass,Male,61,Business,None,Unknown,"H.No. 65, Vala Chowk, Panihati-097619"
VICT000045,CR000039,Quincy Tata,Other,36,Business,Minor,Friend,"H.No. 889, Wali Circle, Raipur-727830"
VICT000046,CR000040,Kavya Prakash,Other,68,Unemployed,None,Family,"69/81, Dixit Path, Mirzapur-506510"
VICT000047,CR000041,Xalak Bansal,Female,26,Unemployed,None,Friend,"016, Chacko Street, Anantapur 165335"
VICT000048,CR000042,Frado Sandal,Male,57,Unemployed,Minor,Neighbour,"H.No. 806, D’Alia Nagar, Satna-356619"
VICT000049,CR000043,Nilima Guha,Female,44,Driver,Minor,Friend,"H.No. 856, Dara Ganj, Bareilly 922959"
VICT000050,CR000044,Warhi Bhattacharyya,Other,57,Unemployed,Serious,Unknown,"H.No. 350, Kumer Marg, Muzaffarnagar-359071"
VICT000051,CR000045,Nathan Dhillon,Male,89,Self Employed,None,Friend,"H.No. 16, Rout Nagar, Parbhani 325845"
VICT000052,CR000045,Ikshita Chowdhury,Other,88,Business,Minor,Stranger,"46/54, Salvi Nagar, Sagar-817377"
VICT000053,CR000046,Gautami Sama,Other,4,Farmer,Serious,Unknown,"91/769, Luthra, Korba 221932"
VICT000054,CR000047,Ira Vaidya,Other,37,Student,None,Family,"H.No. 34, Arya Path, Sonipat 484996"
VICT000055,CR000048,Hritik Solanki,Male,10,Student,Fatal,Friend,"58/461, Comar, Chinsurah 365103"
VICT000056,CR000048,Jasmit Mander,Female,88,Business,Minor,Unknown,"22, Barad Chowk, Unnao-398209"
VICT000057,CR000048,Christopher Vyas,Male,51,Private Employee,Minor,Neighbour,"914, Bal, Gopalpur 415866"
VICT000058,CR000049,Anvi Soman,Other,32,Labourer,None,Colleague,"H.No. 62, Sampath Ganj, Kamarhati 914699"
VICT000059,CR000050,Yasti Kothari,Female,42,Labourer,None,Family,"H.No. 09, Comar Road, Dhanbad 404868"
VICT000060,CR000051,Zayyan Som,Other,50,Private Employee,None,Colleague,"31/84, Karnik Nagar, Singrauli 494009"
VICT000061,CR000051,Falguni Edwin,Female,28,Retired,Minor,Colleague,"64, Chana Road, Ghaziabad 330681"
VICT000062,CR000052,Ishani Kala,Other,47,Driver,Fatal,Stranger,"H.No. 894, Wason Zila, Tadepalligudem-516228"
VICT000063,CR000053,Ishaan Kamdar,Other,20,Self Employed,Serious,Stranger,"08/915, Andra Ganj, Dindigul 612953"
VICT000064,CR000054,Gavin Kaur,Male,22,Student,Fatal,Stranger,"32/251, Dutta Path, Salem-734871"
VICT000065,CR000055,Aarna Sethi,Female,80,Retired,Minor,Unknown,"37, Walia Circle, Amaravati 328584"
VICT000066,CR000056,Charles Rastogi,Other,81,Self Employed,Minor,Neighbour,"H.No. 320, Ratta, Phusro-554719"
VICT000067,CR000057,Lakshit Dey,Other,90,Unemployed,None,Colleague,"176, Thaker Ganj, Sirsa 100956"
VICT000068,CR000058,Girish Hayer,Male,12,Driver,None,Neighbour,"41/733, Bora Marg, Nanded-934116"
VICT000069,CR000059,Advik Bhat,Other,71,Unemployed,Minor,Family,"051, Nath Marg, Agartala-000398"
VICT000070,CR000060,Shivani Naik,Female,60,Farmer,None,Colleague,"67/338, Solanki Nagar, Navi Mumbai 949659"
VICT000071,CR000061,Ikbal Kashyap,Male,3,Retired,None,Unknown,"55/15, Kar Zila, Silchar 593676"
VICT000072,CR000062,Saanvi Salvi,Other,73,Farmer,Minor,Friend,"405, Bora Circle, Chandrapur 847169"
VICT000073,CR000063,Leena Gulati,Female,51,Housewife,Minor,Neighbour,"06/84, Sengupta Marg, Panvel-978960"
VICT000074,CR000064,Gaurav Suresh,Other,61,Student,Serious,Colleague,"H.No. 816, Vasa Chowk, Deoghar-806289"
VICT000075,CR000065,Pallavi Walla,Other,64,Private Employee,Fatal,Neighbour,"73/854, Mody Ganj, Allahabad-334484"
VICT000076,CR000066,Pooja Kaul,Other,64,Labourer,Serious,Unknown,"43/78, Saha Marg, Tirupati-993576"
VICT000077,CR000067,Nandini Manda,Female,77,Private Employee,Minor,Unknown,"97, Nori Chowk, Cuttack 351751"
VICT000078,CR000068,Advaith Saxena,Male,54,Private Employee,None,Neighbour,"782, Iyengar Ganj, Ghaziabad-341266"
VICT000079,CR000068,Aarush Kala,Male,8,Student,Minor,Unknown,"38/105, Taneja, Madhyamgram 150354"
VICT000080,CR000069,Kavya Koshy,Female,35,Student,Serious,Stranger,"200, Vala Chowk, Gaya 449679"
VICT000081,CR000070,Chaitaly Kalita,Female,79,Government Employee,Serious,Friend,"H.No. 619, Raman Chowk, Guna 405740"
VICT000082,CR000070,Parth Mahal,Other,27,Labourer,Serious,Neighbour,"18/982, Thakkar Marg, Ambattur-857135"
VICT000083,CR000071,Vasana Kalla,Female,10,Government Employee,Minor,Friend,"58, Bhat Chowk, Bihar Sharif-479508"
VICT000084,CR000072,Finn Pant,Male,62,Student,Minor,Stranger,"42/18, Trivedi, Tiruchirappalli-007557"
VICT000085,CR000073,Rohan Kapur,Male,78,Unemployed,None,Neighbour,"H.No. 64, Toor Road, Howrah 730927"
VICT000086,CR000074,Laksh Dara,Male,7,Labourer,None,Stranger,"56, Hans Path, Korba 499956"
VICT000087,CR000074,Ayaan Sarma,Male,90,Retired,None,Stranger,"75, Mitra Nagar, Raichur-464034"
VICT000088,CR000075,Jasmit Agate,Female,19,Housewife,None,Family,"H.No. 973, Barad Zila, Srikakulam-393065"
VICT000089,CR000075,Gunbir Patla,Male,29,Business,None,Unknown,"88/697, Agrawal, Dindigul 160849"
VICT000090,CR000076,Falak Basu,Female,6,Business,Minor,Stranger,"H.No. 952, Mukherjee Circle, Tinsukia-120761"
VICT000091,CR000077,Chameli Sagar,Female,62,Student,None,Family,"49, Chacko, Tiruvottiyur 555428"
VICT000092,CR000078,Oliver Kari,Other,2,Driver,Minor,Neighbour,"62, Pant Zila, Suryapet-320713"
VICT000093,CR000079,Praneel Tella,Male,24,Student,None,Unknown,"530, Narang Chowk, Haridwar-375092"
VICT000094,CR000080,Arjun Dash,Other,6,Self Employed,None,Unknown,"64, Pall Marg, Darbhanga-443237"
VICT000095,CR000081,Yahvi Kar,Other,46,Student,Minor,Neighbour,"H.No. 91, Ram Ganj, Anantapuram-950551"
VICT000096,CR000082,Wakeeta Nori,Female,80,Business,Fatal,Unknown,"06/29, Balan Street, Salem-135742"
VICT000097,CR000083,Eesha Toor,Female,51,Driver,Minor,Family,"356, Krishnan Path, Jabalpur 245593"
VICT000098,CR000084,Advay Atwal,Male,26,Labourer,None,Family,"472, Sampath Circle, Karimnagar 530499"
VICT000099,CR000085,Jagvi Oak,Female,60,Business,Minor,Family,"48, Vala Nagar, Ongole-895791"
VICT000100,CR000086,Ekbal Mitra,Other,83,Private Employee,None,Friend,"H.No. 58, Rege, Vasai-Virar 984398"
VICT000101,CR000087,Ranbir Edwin,Male,1,Government Employee,Minor,Family,"H.No. 74, Pai Marg, Rewa 626354"
VICT000102,CR000088,Utkarsh Sen,Male,89,Farmer,Serious,Family,"H.No. 296, Chawla Nagar, Bhavnagar 807391"
VICT000103,CR000089,Wahab Dani,Other,88,Driver,Minor,Colleague,"H.No. 073, Warrior Circle, Pallavaram-795544"
VICT000104,CR000090,Pooja Dass,Other,28,Unemployed,Fatal,Neighbour,"H.No. 35, Bora Road, Junagadh-730592"
VICT000105,CR000091,Frado Devi,Other,21,Government Employee,Serious,Friend,"83/32, Sehgal Ganj, Jodhpur-775842"
VICT000106,CR000091,Urvi Sood,Female,81,Business,None,Stranger,"H.No. 415, Dhillon Path, Alwar 513664"
VICT000107,CR000091,Januja Hans,Female,85,Driver,Minor,Stranger,"H.No. 516, Saraf Nagar, Guntur 948471"
VICT000108,CR000092,Laksh Murty,Other,80,Labourer,None,Family,"H.No. 39, Sura Zila, Thane 753070"
VICT000109,CR000093,Samuel Mody,Male,85,Unemployed,None,Neighbour,"H.No. 99, Dugar, Jodhpur 269750"
VICT000110,CR000094,Devika Bahl,Female,30,Business,None,Stranger,"010, Dey Path, Bulandshahr-863820"
VICT000111,CR000095,Dalaja Vohra,Female,10,Business,None,Colleague,"77/635, Garg Path, Jabalpur 782658"
VICT000112,CR000096,Victor Sinha,Male,82,Housewife,Serious,Family,"642, Loyal Road, Katihar 404552"
VICT000113,CR000097,Omaja Subramaniam,Female,14,Private Employee,None,Unknown,"83/39, Pillay Nagar, Etawah 356524"
VICT000114,CR000097,Ishanvi Deshmukh,Female,76,Farmer,Serious,Unknown,"51, Bobal Chowk, Berhampore-724555"
VICT000115,CR000098,Agastya Chad,Other,77,Private Employee,Serious,Neighbour,"14/280, Bhardwaj Chowk, Indore 405601"
VICT000116,CR000099,Gabriel Ravel,Male,40,Private Employee,None,Colleague,"H.No. 882, Chawla Zila, Chapra-642293"
VICT000117,CR000100,Christopher Mandal,Male,24,Retired,Minor,Unknown,"60, Pau Path, Vasai-Virar 952169"
VICT000118,CR000100,Manthan Parmer,Other,34,Student,Fatal,Family,"70/92, Shenoy Street, Nangloi Jat 461744"
VICT000119,CR000101,Ekta Sastry,Female,85,Retired,Minor,Stranger,"40, Handa Nagar, Bareilly 552602"
VICT000120,CR000102,Omisha Grewal,Other,44,Labourer,None,Unknown,"30/883, Manne Ganj, Tadepalligudem 547935"
VICT000121,CR000103,Rehaan Choudhry,Male,21,Farmer,Serious,Colleague,"H.No. 72, Sood Road, Rajpur Sonarpur-887011"
VICT000122,CR000104,Rushil Sandal,Male,14,Student,Serious,Colleague,"44/526, Sidhu, Jammu-741261"
VICT000123,CR000105,Timothy Som,Male,59,Labourer,None,Unknown,"544, Gill Road, Ambattur-067295"
VICT000124,CR000106,Hema Kashyap,Female,89,Government Employee,Minor,Unknown,"687, Badal Ganj, Miryalaguda 534266"
VICT000125,CR000107,Triveni Devan,Female,19,Farmer,None,Family,"50/52, Narasimhan Road, Anantapuram 766911"
VICT000126,CR000108,Tanmayi Minhas,Female,38,Housewife,Serious,Unknown,"258, Vyas Street, Amritsar-614002"
VICT000127,CR000108,Pratyush Dutt,Male,71,Government Employee,Fatal,Unknown,"91/90, Mistry Path, Tenali 819020"
VICT000128,CR000109,Leena Mahal,Female,36,Driver,Serious,Family,"H.No. 147, Talwar Circle, Bharatpur 708732"
VICT000129,CR000110,Panini Dasgupta,Female,84,Driver,None,Friend,"H.No. 59, Mishra Path, Kurnool 533424"
VICT000130,CR000110,Warinder Pandit,Other,4,Unemployed,None,Family,"375, Loke Circle, Jamalpur-463126"
VICT000131,CR000111,Fitan Joshi,Male,40,Driver,None,Unknown,"80/19, Lal Nagar, Chandrapur 291634"
VICT000132,CR000112,Nandini Narasimhan,Female,49,Government Employee,None,Friend,"27, Mitter Nagar, Anantapur-006629"
VICT000133,CR000113,Lohit Bhalla,Male,54,Unemployed,Minor,Colleague,"44, Bassi, Raichur 331293"
VICT000134,CR000114,Wriddhish Ratta,Male,6,Student,Minor,Friend,"93, Sule Path, Thoothukudi 003146"
VICT000135,CR000114,Omisha Chahal,Female,25,Business,Minor,Neighbour,"694, More Marg, Morena-968525"
VICT000136,CR000115,Siya Chatterjee,Other,69,Driver,Minor,Unknown,"H.No. 68, Bhandari Circle, Howrah-091997"
VICT000137,CR000116,Falguni Bava,Female,43,Self Employed,None,Family,"734, Sarma, Akola 835295"
VICT000138,CR000116,Gagan Ganesh,Male,63,Housewife,Minor,Family,"310, Chatterjee Road, Jalandhar 473692"
VICT000139,CR000117,Rajeshri Balan,Female,6,Government Employee,None,Friend,"H.No. 018, Kara Chowk, Nagpur 869548"
VICT000140,CR000118,Tristan Batra,Male,61,Driver,Minor,Unknown,"50/59, Mody Ganj, Ranchi 611159"
VICT000141,CR000118,Onveer Pall,Other,43,Self Employed,Serious,Friend,"H.No. 76, Savant, Burhanpur-113336"
VICT000142,CR000119,Vihaan Dasgupta,Male,20,Farmer,Minor,Neighbour,"77/53, Salvi Nagar, New Delhi-477526"
VICT000143,CR000120,Lajita Merchant,Female,68,Housewife,Serious,Stranger,"73/68, Kaur Ganj, Davanagere 257214"
VICT000144,CR000121,Ikshita Ramachandran,Female,80,Student,None,Family,"11, Thaman Ganj, Noida 975542"
VICT000145,CR000122,Bhavini Subramanian,Female,18,Farmer,Serious,Family,"48, Nadig Road, North Dumdum 003306"
VICT000146,CR000123,Leela Kapur,Female,65,Driver,Serious,Family,"H.No. 393, Khatri, Muzaffarnagar-634080"
VICT000147,CR000123,Raghav Buch,Other,30,Business,None,Neighbour,"29/95, Shere Path, Machilipatnam 549152"
VICT000148,CR000124,Pranit Keer,Other,23,Driver,None,Stranger,"H.No. 140, Venkataraman Street, Jodhpur 581769"
VICT000149,CR000124,Rachita Ravel,Female,48,Self Employed,None,Friend,"84/952, Kakar Chowk, Gopalpur 350542"
VICT000150,CR000125,Aadi Gala,Male,37,Student,Minor,Unknown,"79, Grewal, Hindupur 069378"
VICT000151,CR000126,Kai Karnik,Male,47,Student,Minor,Colleague,"015, Mahajan, Salem-769826"
VICT000152,CR000127,Ekavir Dewan,Male,32,Housewife,None,Family,"H.No. 83, Rana, Guntakal-059891"
VICT000153,CR000128,Parth Viswanathan,Male,39,Farmer,Minor,Friend,"668, Krishna Path, Rampur 553172"
VICT000154,CR000129,Vivaan Deol,Male,1,Self Employed,Fatal,Unknown,"66/009, Pingle Path, Sonipat-293020"
VICT000155,CR000129,Vansha Walia,Female,8,Private Employee,Minor,Friend,"62/00, Dada Path, Karaikudi 824318"
VICT000156,CR000129,Tara Bose,Female,49,Business,Fatal,Neighbour,"H.No. 145, Ganesan Marg, Erode-163987"
VICT000157,CR000130,Nathaniel Nagar,Male,27,Private Employee,Serious,Colleague,"25/96, Seshadri, Tirupati-643134"
VICT000158,CR000131,Ronith Kibe,Other,74,Government Employee,Minor,Friend,"71, Yogi Marg, Karnal-680449"
VICT000159,CR000132,Chaaya Saini,Other,46,Government Employee,None,Friend,"740, Lad Street, Gurgaon 421792"
VICT000160,CR000133,Farhan Nadkarni,Male,82,Government Employee,None,Family,"01, Prasad Path, Gandhinagar-211069"
VICT000161,CR000134,Sneha Nanda,Female,42,Farmer,Minor,Friend,"H.No. 249, Choudhury Marg, Durg 209247"
VICT000162,CR000135,Elijah Lad,Male,59,Government Employee,Minor,Neighbour,"23, Kapoor Marg, Surat-539416"
VICT000163,CR000136,Ekavir Palan,Other,59,Student,Minor,Stranger,"226, Savant Zila, Ahmedabad 449132"
VICT000164,CR000137,Zilmil De,Other,36,Student,Serious,Colleague,"H.No. 726, Upadhyay Street, Ozhukarai-756950"
VICT000165,CR000138,Max Aurora,Male,16,Farmer,Serious,Neighbour,"52/676, Sodhi Chowk, Hosur-170890"
VICT000166,CR000139,Naksh Chada,Male,29,Farmer,Minor,Family,"H.No. 765, Viswanathan Chowk, Kurnool-718971"
VICT000167,CR000139,Nathan Dhawan,Male,56,Self Employed,Minor,Unknown,"H.No. 22, Parmer Road, Hubli–Dharwad-566829"
VICT000168,CR000140,Qabil Sarma,Male,24,Business,Minor,Unknown,"59/58, Swaminathan Marg, Jabalpur 431975"
VICT000169,CR000141,Lekha Sachar,Female,88,Labourer,None,Friend,"H.No. 50, Shere Marg, Anantapur 166457"
VICT000170,CR000142,Raghav Datta,Male,47,Business,None,Friend,"H.No. 034, Dani Street, Madanapalle-462867"
VICT000171,CR000143,Nirja Srinivasan,Female,30,Farmer,Minor,Neighbour,"49/93, Vala Circle, Pimpri-Chinchwad-518506"
VICT000172,CR000144,Zarna Kakar,Female,85,Labourer,None,Friend,"66/978, Rajagopal Chowk, South Dumdum 511320"
VICT000173,CR000145,Yamini Chaudry,Other,86,Private Employee,Minor,Colleague,"H.No. 658, Nigam Road, Dindigul-510546"
VICT000174,CR000146,Meera Buch,Other,86,Driver,None,Unknown,"658, Ganguly Zila, Kolhapur 354000"
VICT000175,CR000147,Devika Buch,Female,56,Unemployed,None,Colleague,"H.No. 099, Sampath Zila, Dehradun-391832"
VICT000176,CR000148,Faraj Biswas,Other,49,Private Employee,Minor,Colleague,"13/77, Babu Chowk, Chandrapur-135801"
VICT000177,CR000148,Brinda Loke,Female,32,Business,Minor,Unknown,"89, Shan Road, Guntakal 780629"
VICT000178,CR000149,Ladli Datta,Other,51,Driver,Serious,Family,"70, Parmar Zila, Karnal 467240"
VICT000179,CR000150,Nandini Yadav,Other,57,Labourer,None,Neighbour,"16/62, Bhandari Chowk, Howrah 365714"
VICT000180,CR000150,Upasna Nagi,Other,84,Government Employee,Minor,Stranger,"19/767, Barman Ganj, Amravati-206982"
VICT000181,CR000151,Nicholas Kohli,Male,21,Farmer,Minor,Friend,"56/743, Brahmbhatt, Loni 037421"
VICT000182,CR000152,Pavani Koshy,Female,3,Business,None,Neighbour,"88, Khare Chowk, Pimpri-Chinchwad-556457"
VICT000183,CR000153,Robert Vora,Male,50,Self Employed,Minor,Family,"975, Yogi Nagar, Karawal Nagar 849770"
VICT000184,CR000154,Chanchal Grover,Other,37,Farmer,None,Family,"33/54, Contractor Road, Navi Mumbai 427796"
VICT000185,CR000155,Dhriti Patla,Other,29,Farmer,Minor,Family,"53/43, Walia Marg, Sagar-961577"
VICT000186,CR000156,Bakhshi Batra,Male,73,Housewife,Minor,Friend,"H.No. 32, Dalal Zila, Khora  015558"
VICT000187,CR000157,Anamika Madan,Female,20,Labourer,None,Neighbour,"06/335, Srinivasan Chowk, Barasat 111165"
VICT000188,CR000158,Ekaraj Ratti,Male,89,Student,Minor,Family,"98/920, Nigam Marg, Dibrugarh-296276"
VICT000189,CR000159,Dayamai Minhas,Other,21,Private Employee,Serious,Unknown,"47/131, Naik Marg, Muzaffarpur-411021"
VICT000190,CR000160,Ubika Kunda,Other,17,Unemployed,Serious,Neighbour,"70, Yohannan Marg, Kochi 894926"
VICT000191,CR000161,Hemal Dutt,Female,34,Unemployed,None,Colleague,"H.No. 053, Sarraf Ganj, Gudivada 558003"
VICT000192,CR000162,Ekansh Balasubramanian,Other,65,Self Employed,None,Family,"H.No. 13, Kibe Ganj, Sambhal 724472"
VICT000193,CR000163,Watika Mangat,Female,52,Government Employee,Serious,Unknown,"86, Garg Road, Tirupati 712201"
VICT000194,CR000164,Om Nayar,Other,79,Driver,Minor,Unknown,"H.No. 652, Mandal, Ludhiana-740539"
VICT000195,CR000165,Inaya Sachdeva,Female,58,Labourer,Serious,Stranger,"H.No. 52, Pandey Chowk, Dhanbad-721792"
VICT000196,CR000165,Ishita Narula,Female,36,Self Employed,Serious,Neighbour,"24, Sankaran Chowk, Karaikudi 503336"
VICT000197,CR000166,Manya Korpal,Female,5,Government Employee,Minor,Friend,"82/434, Sahni Road, Anand 648937"
VICT000198,CR000167,Arya Bail,Female,41,Farmer,None,Friend,"H.No. 798, Halder Road, Bahraich-151774"
VICT000199,CR000168,Kiaan Kumer,Male,23,Business,None,Neighbour,"H.No. 46, Batra Nagar, Rajahmundry 100048"
VICT000200,CR000169,Quincy Dyal,Male,58,Farmer,None,Unknown,"H.No. 432, Thaker Road, Tirunelveli 030289"
VICT000201,CR000170,Jai Walla,Male,7,Retired,None,Friend,"23/065, Hans Circle, Ulhasnagar 538555"
VICT000202,CR000171,Amaira Ahluwalia,Female,8,Government Employee,Serious,Unknown,"99/253, Chaudhari Ganj, Durg 453060"
VICT000203,CR000172,Oviya Rao,Other,65,Housewife,None,Friend,"H.No. 71, Prakash Zila, Shivpuri-069860"
VICT000204,CR000173,Lakshit Datta,Other,28,Self Employed,Serious,Family,"87, Divan Nagar, Mahbubnagar 347433"
VICT000205,CR000174,Saksham Ravi,Other,74,Farmer,Serious,Unknown,"145, Seth Nagar, Gwalior-541808"
VICT000206,CR000175,Amaira Nigam,Female,29,Housewife,Minor,Family,"H.No. 83, Bala Chowk, Mau 887779"
VICT000207,CR000176,Ekapad Goswami,Other,42,Labourer,None,Stranger,"H.No. 709, Murthy Road, Srikakulam-799363"
VICT000208,CR000177,Varsha Raval,Other,11,Farmer,Minor,Family,"15/41, Mohan Chowk, Ambarnath-591082"
VICT000209,CR000178,Advika Rai,Other,22,Farmer,Serious,Friend,"41, Iyengar Circle, Kollam-906881"
VICT000210,CR000179,Mitesh Maharaj,Male,28,Self Employed,Fatal,Neighbour,"H.No. 88, Bhargava Ganj, Etawah 386610"
VICT000211,CR000180,Logan Dass,Male,32,Self Employed,Minor,Family,"H.No. 54, Kapadia Chowk, Buxar-441305"
VICT000212,CR000181,Aarav Kala,Male,74,Driver,Minor,Colleague,"298, Dua Road, Sambhal-847655"
VICT000213,CR000182,Megha Shetty,Female,18,Business,None,Colleague,"876, Pillay Ganj, Ajmer 828024"
VICT000214,CR000183,Oviya Bains,Other,86,Business,None,Neighbour,"41/97, Bassi, Satara-438956"
VICT000215,CR000184,Elijah Keer,Male,45,Farmer,Minor,Stranger,"679, Virk Ganj, Bhind 635180"
VICT000216,CR000184,Chatresh Sami,Male,18,Labourer,Serious,Stranger,"33, Kanda Nagar, Gaya 047385"
VICT000217,CR000185,Dev Mutti,Other,44,Retired,Minor,Stranger,"31/030, Brar Path, Thane 072652"
VICT000218,CR000186,Jyoti Korpal,Other,24,Business,None,Colleague,"77, Pingle, Jaunpur-744760"
VICT000219,CR000186,Bhavini Korpal,Other,73,Self Employed,None,Stranger,"22/46, Kaul Street, Bellary 118806"
VICT000220,CR000187,Robert Dani,Male,5,Private Employee,None,Family,"H.No. 06, Sunder Ganj, Madhyamgram 317447"
VICT000221,CR000188,Jagdish Sabharwal,Other,8,Business,None,Stranger,"H.No. 096, Roy Nagar, Bellary 164634"
VICT000222,CR000188,Yashoda Suresh,Female,10,Student,None,Family,"H.No. 99, Goda Path, Purnia-302641"
VICT000223,CR000189,Yasti Chandran,Female,37,Unemployed,None,Neighbour,"H.No. 48, Dhar Ganj, Karimnagar 540837"
VICT000224,CR000190,Aayush Sehgal,Other,70,Self Employed,None,Colleague,"56, Bumb Path, Darbhanga 256880"
VICT000225,CR000191,Hemal Dubey,Other,3,Driver,None,Neighbour,"40/237, Babu Nagar, Jehanabad 038235"
VICT000226,CR000191,Aradhana Sharaf,Female,79,Driver,Serious,Stranger,"85, Som Chowk, Karimnagar 231276"
VICT000227,CR000191,Gagan Buch,Other,39,Government Employee,Serious,Neighbour,"H.No. 127, Singhal Path, Kollam 443946"
