complainant_id,case_id,complainant_name,gender,age,occupation,religion,caste,mobile_number,address
CMP000059,CR000059,Indali Varty,Female,31,Farmer,Sikh,SC,6283359694,"85, Thaman Street, Guntur 440891"
CMP000060,CR000060,Mugdha Walia,Female,31,Private Employee,Sikh,General,1523739765,"08/287, Dhillon Marg, Agartala 085185"
CMP000061,CR000061,Meera Thaker,Female,47,Driver,Jain,SC,3504463493,"43, Sandhu Road, Vadodara-803241"
CMP000062,CR000062,Fariq Pandya,Male,41,Self Employed,Sikh,General,9045978845,"88/236, Mody Ganj, Farrukhabad 649794"
CMP000063,CR000063,Nathaniel Mahal,Male,27,Retired,Jain,SC,9909901077,"12/158, Bala Path, Madurai 892420"
CMP000064,CR000064,Oscar Nigam,Male,66,Private Employee,Muslim,SC,8865339043,"78/01, Shetty Nagar, Panchkula 491578"
CMP000065,CR000065,Robert Pau,Male,65,Student,Sikh,General,2370518236,"94, Dasgupta Marg, Pondicherry 737090"
CMP000066,CR000066,Peter Bhargava,Male,20,Homemaker,Muslim,SC,8337517527,"11/148, Sharaf Path, Sambalpur 995104"
CMP000067,CR000067,Qasim Gola,Male,61,Homemaker,Christian,SC,0506152973,"86/89, Gera Zila, Kirari Suleman Nagar 077159"
CMP000068,CR000068,Amruta Dube,Female,44,Private Employee,Jain,General,5734916791,"083, Dada Path, Guwahati 699696"
CMP000069,CR000069,David Kanda,Male,25,Business,Jain,ST,5456514737,"H.No. 26, Sabharwal Path, Tiruchirappalli-283085"
CMP000070,CR000070,Ati Bhardwaj,Female,20,Private Employee,Hindu,SC,8317936131,"H.No. 316, Mall Street, Belgaum 155273"
CMP000071,CR000071,Xavier Ghosh,Male,41,Retired,Hindu,ST,0790527729,"60/94, Vig Nagar, Jalna-731860"
CMP000072,CR000072,Hamsini Bajaj,Female,74,Farmer,Jain,ST,4625610181,"50/966, Ramachandran Path, Pondicherry 399210"
CMP000073,CR000073,Zaitra Shah,Female,57,Labourer,Muslim,OBC,7564881023,"74/690, Mani Marg, Faridabad 172108"
CMP000074,CR000074,Jeet Setty,Male,47,Labourer,Sikh,ST,1271118307,"34/13, Rao, Phagwara-599022"
CMP000075,CR000075,Kiaan Sura,Male,33,Retired,Jain,SC,6656320683,"84, Sheth Path, Gandhinagar 959051"
CMP000076,CR000076,Gautam Sibal,Male,72,Self Employed,Sikh,General,6560539472,"07/81, Raju Circle, Secunderabad-420931"
CMP000077,CR000077,Eshana Rastogi,Female,65,Private Employee,Sikh,ST,2353347272,"23/087, Saran Chowk, Suryapet 203277"
CMP000078,CR000078,Varsha Dass,Female,62,Government Employee,Sikh,General,5510044773,"03/03, Hora Marg, Anand-350615"
CMP000079,CR000079,Finn Dar,Male,33,Business,Hindu,General,3654158647,"H.No. 474, Dasgupta Chowk, Aligarh-895357"
CMP000080,CR000080,Xiti Sidhu,Female,22,Farmer,Muslim,ST,4508316216,"90, Sodhi, Machilipatnam 910037"
CMP000081,CR000081,Qasim Chad,Male,48,Homemaker,Hindu,General,8428980331,"093, Seth Ganj, Chinsurah-948097"
CMP000082,CR000082,Tanmayi Anne,Female,67,Labourer,Sikh,ST,3161316918,"H.No. 38, Dada Ganj, Buxar 309064"
CMP000083,CR000083,Harrison Gulati,Male,52,Business,Muslim,OBC,0150923373,"122, Muni Ganj, Thoothukudi-149859"
CMP000084,CR000084,Saumya Lad,Female,38,Business,Hindu,OBC,7221551914,"67/891, Bandi Ganj, Kurnool 178985"
CMP000085,CR000085,Yashoda Oza,Female,34,Self Employed,Hindu,General,3623705296,"801, Kothari Ganj, Thiruvananthapuram-967919"
CMP000086,CR000086,Radhika Tandon,Female,50,Driver,Sikh,ST,0910518854,"H.No. 917, Sandal, Durg-438970"
CMP000087,CR000087,Aarini Krishnan,Female,56,Labourer,Christian,OBC,2740318122,"H.No. 32, Bera Nagar, Singrauli 339867"
CMP000088,CR000088,Madhavi Thaker,Female,37,Retired,Sikh,ST,2189864489,"68/16, Acharya Ganj, Uluberia 082758"
CMP000089,CR000089,Jagvi Bhat,Female,44,Private Employee,Hindu,SC,4315048011,"H.No. 398, Bhakta Zila, Silchar 398684"
CMP000090,CR000090,Mohammed Ramaswamy,Male,26,Labourer,Sikh,General,2726877621,"37/10, Vyas Path, Vijayawada 931069"
CMP000091,CR000091,Darika Varkey,Female,20,Self Employed,Sikh,OBC,4173903516,"965, Gole Nagar, Bhind-619453"
CMP000092,CR000092,Sachi Saxena,Female,32,Retired,Christian,OBC,4494299672,"H.No. 160, Shan Road, Vadodara 613487"
CMP000093,CR000093,Pahal Sarna,Female,22,Farmer,Hindu,SC,9634287032,"H.No. 91, Salvi Path, Bhiwandi-304807"
CMP000094,CR000094,Warjas Chopra,Male,37,Private Employee,Muslim,ST,7389563195,"H.No. 34, Bansal Marg, Meerut 757950"
CMP000095,CR000095,Mahika Jayaraman,Female,54,Farmer,Hindu,OBC,2910232463,"68/00, Kota Nagar, Naihati-709602"
CMP000096,CR000096,Upkaar Devi,Male,28,Retired,Jain,SC,2106840775,"89, Amble Nagar, Nagpur-234656"
CMP000097,CR000097,Aradhana Sha,Female,50,Business,Hindu,OBC,8722659720,"007, Tiwari Street, Nangloi Jat-245558"
CMP000098,CR000098,Pratyush Bedi,Male,56,Student,Hindu,OBC,6094339179,"H.No. 979, Jha Road, Salem 454418"
CMP000099,CR000099,Qushi Mander,Female,20,Private Employee,Sikh,OBC,9455164010,"398, Ben Street, Dehradun-330845"
CMP000100,CR000100,Vyanjana Nagy,Female,34,Government Employee,Sikh,OBC,6254216038,"71/92, Din Nagar, Fatehpur-034538"
CMP000101,CR000101,Ansh Hayer,Male,42,Farmer,Muslim,ST,6395121825,"H.No. 27, Gole Nagar, Thoothukudi-003505"
CMP000102,CR000102,Gaurangi Goel,Female,34,Self Employed,Hindu,General,1102662600,"87/43, Andra Zila, Motihari-194139"
CMP000103,CR000103,Tejas Sant,Male,52,Homemaker,Christian,OBC,2534899174,"352, Mohan Chowk, Raipur 979267"
CMP000104,CR000104,Bachittar Gulati,Male,42,Homemaker,Jain,OBC,9873902653,"10/571, Manda, Tiruppur 781419"
CMP000105,CR000105,Libni Hora,Female,55,Retired,Christian,General,6321779569,"34/184, Ben Marg, Dibrugarh-688121"
CMP000106,CR000106,Xiti Mallick,Female,48,Government Employee,Muslim,OBC,6462198055,"42/83, Parmar Marg, Ujjain 077624"
CMP000107,CR000107,Indali Halder,Female,55,Self Employed,Jain,General,2587820390,"H.No. 22, Dixit Marg, Muzaffarnagar-232299"
CMP000108,CR000108,Manya Lala,Female,45,Homemaker,Christian,General,4986857586,"H.No. 11, Basak Marg, Parbhani 163450"
CMP000109,CR000109,Ganga Ravel,Female,69,Private Employee,Jain,ST,9050962604,"30, Basu Ganj, Bongaigaon 220508"
CMP000110,CR000110,Charita Taneja,Female,51,Business,Christian,General,7181534150,"14/119, Gaba Zila, Sri Ganganagar-793637"
CMP000111,CR000111,Dipta Barad,Female,51,Farmer,Sikh,General,6001846375,"226, Bahl Path, Kadapa-572272"
CMP000112,CR000112,Dhriti Chopra,Female,37,Retired,Hindu,General,3001547622,"99, Cherian Road, Ahmedabad-336957"
CMP000113,CR000113,Nathan Tara,Male,69,Labourer,Sikh,OBC,4674257856,"H.No. 29, Purohit Ganj, Jammu-515023"
CMP000114,CR000114,Chakrika Saraf,Female,26,Government Employee,Christian,SC,6614997986,"H.No. 80, Chaudhary Path, Faridabad-302128"
CMP000115,CR000115,Isaiah Garg,Male,59,Retired,Hindu,ST,2574341526,"99/88, Varughese Path, Arrah 387661"
CMP000116,CR000116,Keya Mane,Female,53,Private Employee,Muslim,OBC,0591065671,"257, Nagarajan Zila, Nagpur 391997"
CMP000117,CR000117,Avni Mall,Female,70,Student,Muslim,OBC,8940451123,"567, Pant Nagar, Jaipur 868525"
CMP000118,CR000118,Upma Goel,Female,42,Private Employee,Jain,SC,4178298170,"50, Chopra Street, Ujjain 791027"
CMP000119,CR000119,Siya Krishnan,Female,72,Business,Hindu,ST,5522168862,"62, Magar, Bhind-112454"
CMP000120,CR000120,Liam Zachariah,Male,47,Retired,Muslim,OBC,2905607769,"657, Bera Ganj, Nagaon 262848"
CMP000121,CR000121,Champak Narasimhan,Male,66,Self Employed,Sikh,SC,6144429110,"93/50, Wason Street, Mangalore 192370"
CMP000122,CR000122,Yug Thakur,Male,58,Farmer,Jain,General,0125916469,"89, Sama Circle, Kumbakonam 586121"
CMP000123,CR000123,Chaitanya Patel,Male,46,Retired,Muslim,ST,9043135172,"29, Dixit Marg, Gangtok 358986"
CMP000124,CR000124,Madhav Gour,Male,64,Business,Hindu,General,3804941077,"134, Sabharwal Path, Bhimavaram 545189"
CMP000125,CR000125,Yash Natarajan,Male,19,Student,Sikh,OBC,0215408360,"H.No. 247, Goyal Nagar, Bhusawal-816970"
CMP000126,CR000126,Amruta Prabhakar,Female,50,Student,Jain,ST,7976294706,"H.No. 03, Tripathi Nagar, Bellary 716181"
CMP000127,CR000127,Charvi Vaidya,Female,44,Private Employee,Jain,OBC,3404515736,"74/94, Doctor Road, Meerut 391447"
CMP000128,CR000128,Yashodhara Barman,Female,64,Homemaker,Muslim,OBC,8746097129,"84/63, Chakraborty Marg, Ghaziabad 997093"
CMP000129,CR000129,Hemang Gola,Male,64,Farmer,Sikh,ST,8704885139,"89/661, Nagi Circle, Tezpur 404831"
CMP000130,CR000130,Zaid Joshi,Male,19,Private Employee,Jain,SC,2446522784,"88, Johal Zila, Agartala-307325"
CMP000131,CR000131,Vivaan Nayak,Male,59,Driver,Jain,OBC,3231991453,"41/97, Patil Nagar, Jorhat-749928"
CMP000132,CR000132,Sneha Chopra,Female,72,Driver,Hindu,OBC,4601720181,"96, Kar Road, Tezpur 553546"
CMP000133,CR000133,Luke Krishnan,Male,43,Student,Christian,SC,9265748312,"H.No. 740, Apte Path, Agartala 688539"
CMP000134,CR000134,Advay Patel,Male,40,Private Employee,Muslim,SC,2370059884,"H.No. 05, Sachdev Road, Bathinda-140134"
CMP000135,CR000135,Owen Zacharia,Male,47,Driver,Christian,OBC,4405579378,"25/537, Ramaswamy Circle, Raurkela Industrial Township-544752"
CMP000136,CR000136,Qadim Barad,Male,41,Driver,Christian,SC,9624863839,"37/12, Bail Marg, Serampore-483026"
CMP000137,CR000137,Hemani Dash,Female,67,Business,Sikh,SC,1576934947,"24/03, Sengupta Chowk, Mysore-161890"
CMP000138,CR000138,Jacob Purohit,Male,47,Self Employed,Christian,General,9563353304,"95/987, Bhandari Ganj, Kolhapur-914957"
CMP000139,CR000139,Tripti Deep,Female,50,Labourer,Sikh,ST,1158330088,"H.No. 63, Chaudhry, Firozabad 902100"
CMP000140,CR000140,Patrick Chaudhry,Male,66,Self Employed,Christian,OBC,3516310671,"56/51, Sekhon Zila, Nashik-914072"
CMP000141,CR000141,Yug Handa,Male,54,Homemaker,Sikh,SC,1627285319,"827, Natarajan Circle, Saharanpur-227359"
CMP000142,CR000142,Dominic Sangha,Male,72,Business,Hindu,ST,3458339125,"65, Aggarwal Ganj, Kolhapur 096322"
CMP000143,CR000143,Aarini Varma,Female,35,Private Employee,Sikh,OBC,4241140447,"H.No. 532, Randhawa Marg, Pudukkottai-168230"
CMP000144,CR000144,Raagini Bhagat,Female,39,Student,Muslim,ST,2822601581,"506, Modi Path, Kumbakonam-067995"
CMP000145,CR000145,Owen Chakrabarti,Male,38,Homemaker,Christian,ST,1838905194,"22, Zacharia Zila, Durg-804708"
CMP000146,CR000146,Wakeeta Varghese,Female,52,Government Employee,Sikh,SC,8265791504,"59/86, Loke Ganj, Munger-536721"
CMP000147,CR000147,Anusha Devan,Female,50,Government Employee,Jain,General,7704120859,"H.No. 35, Kar Marg, Bijapur-918637"
CMP000148,CR000148,Reyansh Choudhury,Male,36,Homemaker,Sikh,General,6853093497,"505, Varkey Zila, Mango-436817"
CMP000149,CR000149,Arjun Sami,Male,41,Retired,Jain,SC,6718155276,"H.No. 292, Narayanan Chowk, Sangli-Miraj & Kupwad-996757"
CMP000150,CR000150,Pavani Buch,Female,19,Labourer,Sikh,OBC,6513128139,"94, Ramanathan Chowk, Mango 748757"
CMP000151,CR000151,Rishi Balan,Male,21,Business,Jain,General,8167966410,"06, Soman Nagar, Eluru-296735"
CMP000152,CR000152,Tanish Mahajan,Male,75,Labourer,Hindu,General,6585786852,"H.No. 227, Khare Marg, Hubli–Dharwad 688965"
CMP000153,CR000153,Gauri Dubey,Female,22,Retired,Christian,SC,9361695463,"82/56, Kapoor Circle, Amravati-306297"
CMP000154,CR000154,Dayita Bhatt,Female,31,Labourer,Christian,SC,6691978850,"H.No. 351, Sharaf Path, Burhanpur-958081"
CMP000155,CR000155,Xiti Manda,Female,40,Homemaker,Jain,General,4739089958,"32/56, Bobal Nagar, Rewa 964533"
CMP000156,CR000156,Upasna Bassi,Female,59,Farmer,Jain,OBC,7865482691,"H.No. 170, Tank Marg, Dewas 292643"
CMP000157,CR000157,Osha Ramakrishnan,Female,27,Self Employed,Jain,SC,5513967608,"01/404, Mand Street, Panchkula 730956"
CMP000158,CR000158,Tanay Sule,Male,65,Labourer,Jain,SC,5977964620,"H.No. 36, Swaminathan Chowk, Unnao 512537"
CMP000159,CR000159,Theodore Patla,Male,58,Farmer,Sikh,SC,8714599295,"81/61, Yohannan Path, Jamnagar 734742"
CMP000160,CR000160,Zansi D’Alia,Female,55,Labourer,Sikh,OBC,8588993192,"90, Patel Chowk, Bongaigaon-603743"
CMP000161,CR000161,Ati Balasubramanian,Female,21,Labourer,Hindu,General,1289836338,"H.No. 10, Lal Road, Srinagar-617877"
CMP000162,CR000162,Girik Shukla,Male,53,Private Employee,Sikh,SC,5951409746,"984, Bhargava Chowk, Chittoor-395320"
CMP000163,CR000163,Baljiwan Ratti,Male,41,Private Employee,Hindu,ST,6155418650,"38/315, Ghose, Gulbarga 443533"
CMP000164,CR000164,Samesh Andra,Male,41,Driver,Christian,OBC,7739840089,"H.No. 761, Date Road, Pali-392000"
CMP000165,CR000165,Pranit Deo,Male,30,Labourer,Hindu,General,9282674874,"712, Thakur Street, Panihati-430598"
CMP000166,CR000166,Aarush Doshi,Male,64,Farmer,Sikh,SC,7691067761,"34/083, Shanker Chowk, Bardhaman-168415"
CMP000167,CR000167,Nirja Bala,Female,31,Homemaker,Jain,SC,0064403544,"08/091, Deo Chowk, Tumkur-365734"
CMP000168,CR000168,Kamya Biswas,Female,38,Self Employed,Muslim,ST,1016159398,"H.No. 08, Prabhakar Ganj, Fatehpur-582896"
CMP000169,CR000169,Jeet Rajagopalan,Male,36,Homemaker,Jain,ST,4054270087,"19, Chakrabarti Circle, Nagpur-742937"
CMP000170,CR000170,Ridhi Brar,Female,58,Retired,Jain,ST,5547241222,"70/70, Apte Zila, Sri Ganganagar 784920"
CMP000171,CR000171,Krish Nigam,Male,30,Labourer,Muslim,ST,9598148491,"52/67, Sanghvi Ganj, Jalgaon 392131"
CMP000172,CR000172,Viraj Kannan,Male,50,Self Employed,Sikh,SC,9591838270,"32/102, Sampath Zila, Sirsa 162216"
CMP000173,CR000173,Abeer Zacharia,Male,64,Driver,Sikh,OBC,3144590939,"132, Magar, Naihati 360955"
CMP000174,CR000174,Peter Dutta,Male,63,Farmer,Christian,General,2705110924,"67/915, Raval, Orai-995783"
CMP000175,CR000175,Watika Kaur,Female,35,Homemaker,Sikh,SC,4265844057,"H.No. 478, Tank, Saharanpur-447749"
CMP000176,CR000176,Lipika Pradhan,Female,40,Government Employee,Muslim,SC,1921090192,"272, Aurora Ganj, Morena 670271"
CMP000177,CR000177,Vanya Gopal,Female,50,Farmer,Christian,SC,0439632362,"H.No. 011, Rastogi Path, Patna 098522"
CMP000178,CR000178,Manya Narayanan,Female,39,Retired,Sikh,ST,3897794041,"71/443, Dhar Zila, Jodhpur 802664"
CMP000179,CR000179,Quincy Brar,Male,19,Labourer,Christian,OBC,6182147253,"34, Vasa Road, Bhilwara-891606"
CMP000180,CR000180,Aryan Lal,Male,37,Driver,Sikh,OBC,9532374001,"H.No. 30, Chaudhari Marg, Bellary-734839"
CMP000181,CR000181,Ekaraj Chopra,Male,52,Private Employee,Muslim,OBC,8653078883,"86, Salvi Path, Khora  214054"
CMP000182,CR000182,Megha Sant,Female,24,Labourer,Jain,OBC,4370962642,"29/20, Sundaram Circle, Unnao-771072"
CMP000183,CR000183,Azad Sachar,Male,73,Farmer,Muslim,ST,0050945461,"50/289, Lad, Sri Ganganagar 944811"
CMP000184,CR000184,Ekaja Trivedi,Female,47,Government Employee,Muslim,General,6989629559,"41/902, Kari, Bulandshahr 075947"
CMP000185,CR000185,Kashvi Manda,Female,68,Self Employed,Jain,ST,3387199393,"78/537, Vora Zila, Panchkula 062846"
CMP000186,CR000186,Arunima Madan,Female,55,Retired,Sikh,ST,2108009734,"H.No. 65, Chand Nagar, Raebareli 674627"
CMP000187,CR000187,Garima Chakrabarti,Female,68,Self Employed,Sikh,ST,6039064035,"61/28, Taneja Path, Chandrapur-252004"
CMP000188,CR000188,Ayaan Mammen,Male,41,Business,Muslim,ST,8847821504,"25, Narasimhan Path, Saharsa-436713"
CMP000189,CR000189,Krisha Sama,Female,36,Private Employee,Hindu,SC,1903481916,"34, Venkatesh Path, Mahbubnagar-825428"
CMP000190,CR000190,Chaitaly Sha,Female,43,Labourer,Christian,General,1407146895,"H.No. 940, Koshy Circle, Jamshedpur-376807"
CMP000191,CR000191,Arya Deshpande,Female,61,Driver,Muslim,SC,2018220263,"H.No. 111, De Circle, Darbhanga 276005"
CMP000192,CR000192,Vasudha Manda,Female,20,Driver,Muslim,ST,5876791890,"380, Kapur Nagar, Narasaraopet-580315"
CMP000193,CR000193,Wishi Dalal,Female,52,Farmer,Hindu,General,8984532733,"65/80, Chokshi Path, Vijayanagaram-569335"
CMP000194,CR000194,Sachi Datta,Female,20,Retired,Hindu,SC,9609208380,"481, Kannan Nagar, Avadi-229742"
CMP000195,CR000195,Max Rajagopal,Male,53,Private Employee,Jain,ST,8431842564,"34/726, Murthy Nagar, Madanapalle-615416"
CMP000196,CR000196,Yashasvi Khatri,Female,26,Self Employed,Jain,OBC,8108441672,"H.No. 721, Shah Nagar, Etawah 928337"
CMP000197,CR000197,Riya Randhawa,Female,52,Government Employee,Christian,SC,5331847184,"H.No. 972, Toor Road, Rajahmundry 587156"
CMP000198,CR000198,Aarav Nath,Male,41,Homemaker,Sikh,SC,4086049163,"26/40, Gopal Circle, Shimoga-455514"
CMP000199,CR000199,Saanvi Narain,Female,30,Government Employee,Sikh,SC,1171024157,"H.No. 202, Pillay, Bhubaneswar-224905"
CMP000200,CR000200,Naveen Bakshi,Male,47,Government Employee,Hindu,OBC,7571041791,"H.No. 334, Deo Circle, Pali 560801"
CMP000201,CR000201,Riya Jani,Female,34,Driver,Christian,ST,2027643455,"49/09, Krishnan Zila, Vadodara 416808"
CMP000202,CR000202,Eshana Khosla,Female,61,Homemaker,Sikh,ST,9150959359,"H.No. 591, Shukla Ganj, Tirupati-423810"
CMP000203,CR000203,Leela Lall,Female,74,Labourer,Muslim,ST,3105627851,"72/92, Arya Road, Mumbai-891654"
CMP000204,CR000204,Aadhya Sethi,Female,63,Private Employee,Muslim,SC,9516384505,"H.No. 73, Ramakrishnan Nagar, Ahmednagar 486487"
CMP000205,CR000205,Yahvi Choudhury,Female,39,Labourer,Hindu,SC,7714720185,"030, Lanka Zila, Shahjahanpur 239259"
CMP000206,CR000206,Krish Pandya,Male,29,Government Employee,Sikh,ST,2290301367,"30, Kurian Chowk, Faridabad-008936"
CMP000207,CR000207,Vasatika Nadkarni,Female,54,Self Employed,Christian,ST,8477520930,"29/577, Sidhu Ganj, Rourkela 330001"
CMP000208,CR000208,Ayush Barman,Male,46,Retired,Jain,SC,0753985560,"07/699, Dass Chowk, Kolkata 226489"
CMP000209,CR000209,Warhi Mishra,Female,50,Labourer,Hindu,General,0987114553,"77/54, Oak Zila, Hosur-814956"
CMP000210,CR000210,Ikshita Manda,Female,61,Private Employee,Christian,SC,1879641170,"59/082, Gade Street, Jamnagar-068514"
CMP000211,CR000211,Krishna Dani,Male,42,Farmer,Muslim,SC,8791498640,"58/083, Shroff Path, Bhilai 265075"
